,Epoch,Max Epoch,loss,train data accuracy,test data accuracy
0,1,70,0.01,15.778,16.599
1,2,70,0.009,15.778,16.599
2,3,70,0.009,17.389,17.206
3,4,70,0.009,18.056,17.814
4,5,70,0.009,20.333,20.04
5,6,70,0.009,22.944,24.696
6,7,70,0.009,26.111,24.899
7,8,70,0.009,31.0,27.328
8,9,70,0.008,31.778,28.947
9,10,70,0.008,33.5,30.364
10,11,70,0.008,37.722,31.579
11,12,70,0.008,39.0,30.567
12,13,70,0.007,41.722,32.186
13,14,70,0.007,43.889,30.364
14,15,70,0.007,44.889,30.972
15,16,70,0.007,44.5,30.972
16,17,70,0.007,50.556,30.567
17,18,70,0.006,52.056,32.186
18,19,70,0.006,53.5,33.198
19,20,70,0.006,56.722,34.615
20,21,70,0.005,59.278,30.364
21,22,70,0.005,59.944,30.972
22,23,70,0.005,63.222,31.781
23,24,70,0.005,67.222,32.389
24,25,70,0.004,69.722,33.806
25,26,70,0.004,69.333,30.162
26,27,70,0.004,70.722,30.162
27,28,70,0.004,73.5,32.186
28,29,70,0.003,75.111,32.389
29,30,70,0.003,77.111,33.198
30,31,70,0.003,79.333,31.984
31,32,70,0.003,81.167,30.972
32,33,70,0.003,80.833,31.377
33,34,70,0.002,83.278,34.211
34,35,70,0.002,83.833,30.567
35,36,70,0.002,86.056,33.198
36,37,70,0.002,85.444,30.769
37,38,70,0.002,87.222,34.008
38,39,70,0.002,89.667,30.972
39,40,70,0.002,89.778,31.984
40,41,70,0.002,89.556,32.389
41,42,70,0.001,90.722,31.781
42,43,70,0.001,89.556,32.186
43,44,70,0.001,90.278,30.972
44,45,70,0.001,92.222,31.579
45,46,70,0.001,92.167,31.781
46,47,70,0.001,93.889,30.162
47,48,70,0.001,93.667,30.567
48,49,70,0.001,93.389,31.174
49,50,70,0.001,93.5,31.781
50,51,70,0.001,93.833,28.745
51,52,70,0.001,94.0,30.364
52,53,70,0.001,95.556,32.996
53,54,70,0.001,95.5,31.579
54,55,70,0.001,94.5,31.174
55,56,70,0.001,96.278,30.769
56,57,70,0.001,97.0,32.186
57,58,70,0.001,97.167,31.377
58,59,70,0.0,98.0,30.567
59,60,70,0.0,98.111,30.972
60,61,70,0.0,98.389,32.591
61,62,70,0.0,98.611,31.984
62,63,70,0.0,99.056,31.579
63,64,70,0.0,98.722,31.984
64,65,70,0.0,98.778,31.984
65,66,70,0.0,98.944,31.781
66,67,70,0.0,99.222,31.579
67,68,70,0.0,98.944,32.389
68,69,70,0.0,99.0,31.174
69,70,70,0.0,99.333,31.984
